stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
534,534,VGP,12.549663,80.143925,0
138,138,PANAIYUR,12.549663,80.143925,0
204,204,UTHANDI VILLAGE,12.549663,80.143925,0
82,82,KANATHUR,12.549663,80.143925,0
127,127,NATURE CARE HOSPITAL,12.549663,80.143925,0
121,121,MUTTUKKADU,12.549663,80.143925,0
122,122,MUTTUKKADU BOAT YARD,12.549663,80.143925,0
96,96,KOVALAM,12.549663,80.143925,0
21,21,BESANT NAGAR,12.549663,80.143925,0
ixUxTFtC,ixUxTFtC,THIRUVANMIYUR DEPOT,12.98733,80.25963,0
XJRnAJHc,XJRnAJHc,THIRUVANMIYUR MARUDEESWARAR TEMPLE,12.98513,80.25967,0
WUWIxCFc,WUWIxCFc,THIRUVALLUVAR NAGAR RTO,12.97667,80.25913,0
OdzEGWPG,OdzEGWPG,KOTTIVAKKAM,12.9694,80.25772,0
tndfGrTh,tndfGrTh,PALAVAKKAM,12.96096,80.25616,0
ruogAkOJ,ruogAkOJ,PALAVAKKAM SAINT ANTHONY CHURCH,12.95841,80.25565,0
cQHgTjKq,cQHgTjKq,ICE FACTORY,12.95408,80.25521,0
wGTdgRcU,wGTdgRcU,NEELANKARAI,12.95064,80.25506,0
meZHMfSd,meZHMfSd,BHUARI HOTEL,12.94211,80.25332,0
yTNmoAGc,yTNmoAGc,VETTUVAKENI,12.93851,80.25278,0
wDEypHfE,wDEypHfE,INJAMBAKKAM SAI BABA TEMPLE,12.92751,80.25148,0
QCBPrBCl,QCBPrBCl,BETHAL NAGAR,12.92434,80.25125,0
rGYrQqGa,rGYrQqGa,INJAMBAKKAM,12.91883,80.25087,0
OUTzwMHI,OUTzwMHI,VGP GOLDEN BEACH,12.91393,80.25037,0
tcHYhVZo,tcHYhVZo,AKKARAI WATER SUPPLY HEAD WORK,12.8983,80.24765,0
XkkxwlXm,XkkxwlXm,PANAIYUR,12.88644,80.24579,0
PQuXHWcA,PQuXHWcA,UTHANDI COLONY,12.87765,80.24382,0
ZFSCrBEp,ZFSCrBEp,UTHANDI,12.86893,80.24359,0
zKpOsJgw,zKpOsJgw,ANANDBAGH,12.86502,80.24248,0
fXFJjsZH,fXFJjsZH,UTHANDI TOLL GATE,12.85978,80.24195,0
DKTMYVhM,DKTMYVhM,KANATHUR,12.85043,80.24121,0
SvkqEtGw,SvkqEtGw,KANATHUR MEERA NAGAR,12.84156,80.24064,0
HbaaqMIK,HbaaqMIK,MUTTUKADU,12.83161,80.24049,0
jOvjucEC,jOvjucEC,MARY WORLD OR MGM,12.82748,80.24032,0
3d0186a668209ba8116de1147c83ffb7,3d0186a668209ba8116de1147c83ffb7,YELLOW BOARD,12.81841,80.24053,0
MwUoGUHv,MwUoGUHv,MUTHUKADU N.I.E.P.M.D,12.81218,80.24271,0
30f71bb70bdebd48956e978c42eb3e8f,30f71bb70bdebd48956e978c42eb3e8f,MUTTUKADU BOAT HOUSE,12.80593,80.24302,0
TBShKgjD,TBShKgjD,KUNNUKADU ALAMARAM,12.79561,80.24119,0
4c429903ff1bd3ea8750618c5752be8b,4c429903ff1bd3ea8750618c5752be8b,KOVALAM,12.78838,80.2434,0
IGRxApsM,IGRxApsM,KOVALAM KELAMBAKAM ROAD JUNCTION,12.78408,80.24546,0
ZNFFlclk,ZNFFlclk,KOVALAM CHAMJARAI,12.77888,80.2482,0
uaUalZjh,uaUalZjh,KOVALAM B.T,12.7867,80.24981,0
f0cbe11c9af97d64ece9dd45d52489eb,f0cbe11c9af97d64ece9dd45d52489eb,KOVALAM KELAMBAKAM ROAD JUNCTION,12.78519,80.24536,0
ZIvIwqTW,ZIvIwqTW,KOVALAM,12.78834,80.24332,0
SdEWNrvb,SdEWNrvb,KUNNUKADU ALAMARAM,12.79655,80.24116,0
d1f99fc42bbce5938306c50cd9483bf1,d1f99fc42bbce5938306c50cd9483bf1,MUTTUKADU BOAT HOUSE,12.80587,80.24284,0
kMrSvhcD,kMrSvhcD,MUTHUKADU N.I.E.P.M.D,12.81271,80.24239,0
771e0a20a5dad111bd040c6be32266c6,771e0a20a5dad111bd040c6be32266c6,YELLOW BOARD,12.81841,80.24043,0
cVeADzkw,cVeADzkw,M.G.M DIZZEE WORLD,12.82747,80.24023,0
